id,created_date,text,retweeted_count,favourite_count
1256391407964741632,"Sat May 02 01:13:48 +0000 2020","RT @LOTHBROK777: No, no hay CUERPOS extraviados.... solo no sabemos donde estan!
Plop !!!!!!!!
@CNNEE @ActualidadRT @CIDH 
#Covid_19ec http…",36,0
1256391407826280450,"Sat May 02 01:13:48 +0000 2020","RT @jairbolsonaro: - EXEMPLOS DE AÇÕES DAS FORÇAS ARMADAS NO COMBATE AO COVID-19:

1. Mais de 29 mil militares da @marmilbr , @exercitoofic…",3052,0
1256391407646003201,"Sat May 02 01:13:48 +0000 2020","RT @merbi2: No fue el covid, fue nuestro Octubre Rojo!! Baja en empleos formales cae desde octubre, aumentan los informales... el covid hac…",189,0
1256391407486373888,"Sat May 02 01:13:48 +0000 2020","RT @ZonaCNoticias: Aumentó a 368 los casos de COVID-19 en Morelos y 44 defunciones https://t.co/9dhBTY0AMU",3,0
1256391407377539073,"Sat May 02 01:13:48 +0000 2020","RT @UN: With nearly 1.3 billion students out of school due to #COVID19, the UN &amp; partners are turning to an array of communication tools to…",30,0
1256391406924554242,"Sat May 02 01:13:48 +0000 2020","@VickyConley15 Hope ur staying safe during this covid 19 mess.",0,0
1256391406777761792,"Sat May 02 01:13:48 +0000 2020","RT @ArleneRamona: It is just the beginning #WORLD.

Locusts, floods and COVID-19: a potentially deadly combination for malnourished childre…",1,0
1256391406568030213,"Sat May 02 01:13:48 +0000 2020","RT @jairbolsonaro: - EXEMPLOS DE AÇÕES DAS FORÇAS ARMADAS NO COMBATE AO COVID-19:

1. Mais de 29 mil militares da @marmilbr , @exercitoofic…",3052,0
1256391406446411783,"Sat May 02 01:13:48 +0000 2020","RT @Expresoec: Científico ecuatoriano, un ejemplo a seguir. Él y su equipo crean una prueba de Covid-19 de fácil acceso y única en su tipo:…",24,0
1256391406320381952,"Sat May 02 01:13:48 +0000 2020","RT @Ashthewonderr: My uncle just recently passed yesterday due to Covid-19. He was a doctor. These protest of stupidity is not guaranteed t…",6,0
1256391406232285184,"Sat May 02 01:13:48 +0000 2020","RT @gapolicarpio: Budget tracker! Will the Duterte administration like this? Hmmm ...
https://t.co/rYF50K7fn0",53,0
1256391406203133956,"Sat May 02 01:13:48 +0000 2020","RT @julenrementeria: ¿Se le fue el internet Director @zoerobledo?

Mientras la SEDENA compraba ventiladores para el COVID-19 en 898 mil pes…",2411,0
1256391406177980416,"Sat May 02 01:13:48 +0000 2020","RT @atilioboron: ""La ONU exige a Trump levantar el embargo económico contra Cuba por el Covid-19."" Pero Trump preside un ""Estado Canalla"" q…",93,0
1256391405804630016,"Sat May 02 01:13:48 +0000 2020","RT @Nationwideradio: Fast food chain Mothers is set to close its 18 branches in Jamaica for the next 30 days. Nearly 1-thousand people will…",112,0
1256391405473316867,"Sat May 02 01:13:48 +0000 2020","RT @ArthurCaplan: #funerals in #covid era. Hearses lined up-got 30 minutes for the whole thing. 8 people allowed. Say goodbye to body at ba…",19,0
1256391405389438979,"Sat May 02 01:13:48 +0000 2020","Mañana 2 de mayo a las 15:00 Ecu concierto benéfico! 

Los fondos que se obtengan de este evento permitirá adquirir… https://t.co/qS8UPI1BFo",0,0
1256391405309693953,"Sat May 02 01:13:48 +0000 2020","RT @CubaMINREX: Ex Primer Ministro de Jamaica reconoce ayuda internacional de Cuba en el enfrentamiento a la Covid-19.

Más información vía…",47,0
1256391405276033025,"Sat May 02 01:13:48 +0000 2020","RT @MagdaSzubanski: Every day I thank god for @DanielAndrewsMP and his practical, genuine, staunch, sensible, caring, pragmatic idealism. H…",7,0
1256391405175476224,"Sat May 02 01:13:48 +0000 2020","RT @ExpresoPeru: EE.UU. autoriza uso del antiviral Remdesivir para pacientes graves de COVID-19 https://t.co/D2Jz8Odvma",39,0
